※ED1.精灵ED之一,"Map258.json,events,2,pages,0,list,4,parameters,0"
要观看『ED20.眷属妖狐化ED』吗？,"Map258.json,events,43,pages,1,list,2,parameters,0"
是,"Map258.json,events,43,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,43,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,43,pages,1,list,4,parameters,1"
否,"Map258.json,events,43,pages,1,list,13,parameters,1"
※ED21.妖狐篇ED6,"Map258.json,events,44,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,44,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,44,pages,0,list,6,parameters,0"
是,"Map258.json,events,44,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,44,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,44,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,44,pages,0,list,8,parameters,1"
需要被水弄湿或者输给植物两次。,"Map258.json,events,44,pages,0,list,10,parameters,0"
可以是被水弄湿＋植物一次,"Map258.json,events,44,pages,0,list,11,parameters,0"
或者植物三次。,"Map258.json,events,44,pages,0,list,12,parameters,0"
必须阅读书籍才能知道弱点。,"Map258.json,events,44,pages,0,list,13,parameters,0"
※战斗时必须知道弱点。,"Map258.json,events,44,pages,0,list,15,parameters,0"
第一回合选择自由选项。,"Map258.json,events,44,pages,0,list,16,parameters,0"
第二回合选择『瞄准尾巴』。,"Map258.json,events,44,pages,0,list,17,parameters,0"
解锁这个ED,"Map258.json,events,44,pages,0,list,19,parameters,1"
确定要解锁吗？,"Map258.json,events,44,pages,0,list,21,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,44,pages,0,list,22,parameters,0"
是,"Map258.json,events,44,pages,0,list,23,parameters,0,0"
否,"Map258.json,events,44,pages,0,list,23,parameters,0,1"
是,"Map258.json,events,44,pages,0,list,24,parameters,1"
否,"Map258.json,events,44,pages,0,list,30,parameters,1"
否,"Map258.json,events,44,pages,0,list,34,parameters,1"
要观看『ED21.姐妹妖狐化ED』吗？,"Map258.json,events,44,pages,1,list,2,parameters,0"
是,"Map258.json,events,44,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,44,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,44,pages,1,list,4,parameters,1"
否,"Map258.json,events,44,pages,1,list,12,parameters,1"
※ED22.妖狐篇ED7,"Map258.json,events,45,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,45,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,45,pages,0,list,6,parameters,0"
是,"Map258.json,events,45,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,45,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,45,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,45,pages,0,list,8,parameters,1"
需要被水弄湿或者输给植物三次。,"Map258.json,events,45,pages,0,list,10,parameters,0"
可以是被水弄湿＋植物两次,"Map258.json,events,45,pages,0,list,11,parameters,0"
或者植物三次。,"Map258.json,events,45,pages,0,list,12,parameters,0"
必须阅读书籍才能知道弱点。,"Map258.json,events,45,pages,0,list,13,parameters,0"
此时是否看镜子会导致,"Map258.json,events,45,pages,0,list,15,parameters,0"
自由行动前的对话分支。,"Map258.json,events,45,pages,0,list,16,parameters,0"
另外，在这个阶段是否看镜子,"Map258.json,events,45,pages,0,list,18,parameters,0"
会导致自由行动前的对话分支。,"Map258.json,events,45,pages,0,list,19,parameters,0"
解锁这个ED,"Map258.json,events,45,pages,0,list,21,parameters,1"
确定要解锁吗？,"Map258.json,events,45,pages,0,list,23,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,45,pages,0,list,24,parameters,0"
是,"Map258.json,events,45,pages,0,list,25,parameters,0,0"
否,"Map258.json,events,45,pages,0,list,25,parameters,0,1"
是,"Map258.json,events,45,pages,0,list,26,parameters,1"
否,"Map258.json,events,45,pages,0,list,32,parameters,1"
否,"Map258.json,events,45,pages,0,list,36,parameters,1"
要观看『ED22.皮肤愈合ED』吗？,"Map258.json,events,45,pages,1,list,2,parameters,0"
是,"Map258.json,events,45,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,45,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,45,pages,1,list,4,parameters,1"
如果在最后阶段看了镜子,"Map258.json,events,45,pages,1,list,5,parameters,0,0"
如果在最后阶段没有看镜子,"Map258.json,events,45,pages,1,list,5,parameters,0,1"
保持原样,"Map258.json,events,45,pages,1,list,5,parameters,0,2"
如果在最后阶段看了镜子,"Map258.json,events,45,pages,1,list,6,parameters,1"
如果在最后阶段没有看镜子,"Map258.json,events,45,pages,1,list,15,parameters,1"
保持原样,"Map258.json,events,45,pages,1,list,25,parameters,1"
否,"Map258.json,events,45,pages,1,list,29,parameters,1"
※ED23.龙娘篇ED1,"Map258.json,events,48,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,48,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,48,pages,0,list,6,parameters,0"
是,"Map258.json,events,48,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,48,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,48,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,48,pages,0,list,8,parameters,1"
在去城镇后，不要与,"Map258.json,events,48,pages,0,list,10,parameters,0"
发出『！』的男性对话，直接离开城镇。,"Map258.json,events,48,pages,0,list,11,parameters,0"
与『！』男性对话会触发第2个标志，,"Map258.json,events,48,pages,0,list,12,parameters,0"
无法进入此ED。,"Map258.json,events,48,pages,0,list,13,parameters,0"
解锁这个ED,"Map258.json,events,48,pages,0,list,15,parameters,1"
确定要解锁吗？,"Map258.json,events,48,pages,0,list,17,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,48,pages,0,list,18,parameters,0"
是,"Map258.json,events,48,pages,0,list,19,parameters,0,0"
否,"Map258.json,events,48,pages,0,list,19,parameters,0,1"
是,"Map258.json,events,48,pages,0,list,20,parameters,1"
否,"Map258.json,events,48,pages,0,list,26,parameters,1"
否,"Map258.json,events,48,pages,0,list,30,parameters,1"
要观看『ED23.母与女儿篇1』吗？,"Map258.json,events,48,pages,1,list,2,parameters,0"
是,"Map258.json,events,48,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,48,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,48,pages,1,list,4,parameters,1"
否,"Map258.json,events,48,pages,1,list,12,parameters,1"
※ED24.龙娘篇ED2,"Map258.json,events,49,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,49,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,49,pages,0,list,6,parameters,0"
是,"Map258.json,events,49,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,49,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,49,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,49,pages,0,list,8,parameters,1"
在去城市后，找到一个发出『！』的男人,"Map258.json,events,49,pages,0,list,10,parameters,0"
和他说话然后出去。,"Map258.json,events,49,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,49,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,49,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,49,pages,0,list,16,parameters,0"
是,"Map258.json,events,49,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,49,pages,0,list,17,parameters,0,1"
是,"Map258.json,events,49,pages,0,list,18,parameters,1"
否,"Map258.json,events,49,pages,0,list,24,parameters,1"
否,"Map258.json,events,49,pages,0,list,28,parameters,1"
要看『ED24.母与女儿篇2』吗？,"Map258.json,events,49,pages,1,list,2,parameters,0"
是,"Map258.json,events,49,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,49,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,49,pages,1,list,4,parameters,1"
否,"Map258.json,events,49,pages,1,list,13,parameters,1"
※ED25.哈比篇ED1,"Map258.json,events,53,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,53,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,53,pages,0,list,6,parameters,0"
是,"Map258.json,events,53,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,53,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,53,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,53,pages,0,list,8,parameters,1"
在变成哈比之后，需要逃脱而不被黑哈比抓住。,"Map258.json,events,53,pages,0,list,10,parameters,0"
顺便说一下，变成哈比后可以在水边行走。,"Map258.json,events,53,pages,0,list,12,parameters,0"
解锁这个ED,"Map258.json,events,53,pages,0,list,14,parameters,1"
确定要解锁吗？,"Map258.json,events,53,pages,0,list,16,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,53,pages,0,list,17,parameters,0"
是,"Map258.json,events,53,pages,0,list,18,parameters,0,0"
否,"Map258.json,events,53,pages,0,list,18,parameters,0,1"
是,"Map258.json,events,53,pages,0,list,19,parameters,1"
否,"Map258.json,events,53,pages,0,list,25,parameters,1"
否,"Map258.json,events,53,pages,0,list,29,parameters,1"
要看『ED25.哈比归还ED』吗？,"Map258.json,events,53,pages,1,list,2,parameters,0"
是,"Map258.json,events,53,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,53,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,53,pages,1,list,4,parameters,1"
否,"Map258.json,events,53,pages,1,list,13,parameters,1"
※ED26.哈比篇ED2,"Map258.json,events,54,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,54,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,54,pages,0,list,6,parameters,0"
是,"Map258.json,events,54,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,54,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,54,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,54,pages,0,list,8,parameters,1"
需要在变成哈比并怀孕的状态下,"Map258.json,events,54,pages,0,list,10,parameters,0"
回到城市。,"Map258.json,events,54,pages,0,list,11,parameters,0"
（在清彦不喜欢的立绘时）,"Map258.json,events,54,pages,0,list,12,parameters,0"
如果在逃脱开始后被哈比抓住,"Map258.json,events,54,pages,0,list,14,parameters,0"
就会在出口附近醒来作为母亲，,"Map258.json,events,54,pages,0,list,15,parameters,0"
所以最好是在出口附近被哈比抓住。,"Map258.json,events,54,pages,0,list,16,parameters,0"
解锁这个ED,"Map258.json,events,54,pages,0,list,18,parameters,1"
确定要解锁吗？,"Map258.json,events,54,pages,0,list,20,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,54,pages,0,list,21,parameters,0"
是,"Map258.json,events,54,pages,0,list,22,parameters,0,0"
否,"Map258.json,events,54,pages,0,list,22,parameters,0,1"
是,"Map258.json,events,54,pages,0,list,23,parameters,1"
否,"Map258.json,events,54,pages,0,list,29,parameters,1"
否,"Map258.json,events,54,pages,0,list,33,parameters,1"
要看『ED26.城市产卵ED』吗？,"Map258.json,events,54,pages,1,list,2,parameters,0"
是,"Map258.json,events,54,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,54,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,54,pages,1,list,4,parameters,1"
否,"Map258.json,events,54,pages,1,list,16,parameters,1"
※ED27.哈比篇ED3,"Map258.json,events,55,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,55,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,55,pages,0,list,6,parameters,0"
是,"Map258.json,events,55,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,55,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,55,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,55,pages,0,list,8,parameters,1"
变成哈比并在醒来后去森林深处。,"Map258.json,events,55,pages,0,list,10,parameters,0"
解锁这个ED,"Map258.json,events,55,pages,0,list,12,parameters,1"
确定要解锁吗？,"Map258.json,events,55,pages,0,list,14,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,55,pages,0,list,15,parameters,0"
是,"Map258.json,events,55,pages,0,list,16,parameters,0,0"
否,"Map258.json,events,55,pages,0,list,16,parameters,0,1"
是,"Map258.json,events,55,pages,0,list,17,parameters,1"
否,"Map258.json,events,55,pages,0,list,23,parameters,1"
否,"Map258.json,events,55,pages,0,list,27,parameters,1"
要看『ED27.一匹母亲ED』吗？,"Map258.json,events,55,pages,1,list,2,parameters,0"
是,"Map258.json,events,55,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,55,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,55,pages,1,list,4,parameters,1"
否,"Map258.json,events,55,pages,1,list,16,parameters,1"
※ED28.淫魔篇ED1,"Map258.json,events,60,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,60,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,60,pages,0,list,6,parameters,0"
是,"Map258.json,events,60,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,60,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,60,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,60,pages,0,list,8,parameters,1"
变成淫魔后，直接走到城市中央。,"Map258.json,events,60,pages,0,list,10,parameters,0"
可以将城市中的幸存人类,"Map258.json,events,60,pages,0,list,12,parameters,0"
变成淫魔。,"Map258.json,events,60,pages,0,list,13,parameters,0"
是做还是不做都可以，尽情享受吧。,"Map258.json,events,60,pages,0,list,14,parameters,0"
解锁这个ED,"Map258.json,events,60,pages,0,list,16,parameters,1"
确定要解锁吗？,"Map258.json,events,60,pages,0,list,18,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,60,pages,0,list,19,parameters,0"
是,"Map258.json,events,60,pages,0,list,20,parameters,0,0"
否,"Map258.json,events,60,pages,0,list,20,parameters,0,1"
是,"Map258.json,events,60,pages,0,list,21,parameters,1"
否,"Map258.json,events,60,pages,0,list,27,parameters,1"
否,"Map258.json,events,60,pages,0,list,31,parameters,1"
要看『ED28.完全淫魔化ED』吗？,"Map258.json,events,60,pages,1,list,2,parameters,0"
是,"Map258.json,events,60,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,60,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,60,pages,1,list,4,parameters,1"
否,"Map258.json,events,60,pages,1,list,15,parameters,1"
※ED29.淫魔篇ED2,"Map258.json,events,61,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,61,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,61,pages,0,list,6,parameters,0"
是,"Map258.json,events,61,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,61,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,61,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,61,pages,0,list,8,parameters,1"
去地下通道（从旅馆出来后的地图西北部）,"Map258.json,events,61,pages,0,list,10,parameters,0"
输给小孩淫魔，然后推进剧情就会触发这个ED。,"Map258.json,events,61,pages,0,list,11,parameters,0"
解锁这个ED,"Map258.json,events,61,pages,0,list,13,parameters,1"
确定要解锁吗？,"Map258.json,events,61,pages,0,list,15,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,61,pages,0,list,16,parameters,0"
是,"Map258.json,events,61,pages,0,list,17,parameters,0,0"
否,"Map258.json,events,61,pages,0,list,17,parameters,0,1"
是,"Map258.json,events,61,pages,0,list,18,parameters,1"
否,"Map258.json,events,61,pages,0,list,24,parameters,1"
否,"Map258.json,events,61,pages,0,list,28,parameters,1"
要看『ED29.完全小孩淫魔化ED』吗？,"Map258.json,events,61,pages,1,list,2,parameters,0"
是,"Map258.json,events,61,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,61,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,61,pages,1,list,4,parameters,1"
否,"Map258.json,events,61,pages,1,list,15,parameters,1"
※ED30.淫魔篇ED3,"Map258.json,events,62,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,62,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,62,pages,0,list,6,parameters,0"
是,"Map258.json,events,62,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,62,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,62,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,62,pages,0,list,8,parameters,1"
不被淫魔抓住，返回来时的路。,"Map258.json,events,62,pages,0,list,10,parameters,0"
无论是打败还是不打败途中的淫魔,"Map258.json,events,62,pages,0,list,11,parameters,0"
对ED没有特别影响。,"Map258.json,events,62,pages,0,list,12,parameters,0"
（除了一部分居民减少之外）,"Map258.json,events,62,pages,0,list,13,parameters,0"
解锁这个ED,"Map258.json,events,62,pages,0,list,15,parameters,1"
确定要解锁吗？,"Map258.json,events,62,pages,0,list,17,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,62,pages,0,list,18,parameters,0"
是,"Map258.json,events,62,pages,0,list,19,parameters,0,0"
否,"Map258.json,events,62,pages,0,list,19,parameters,0,1"
是,"Map258.json,events,62,pages,0,list,20,parameters,1"
否,"Map258.json,events,62,pages,0,list,26,parameters,1"
否,"Map258.json,events,62,pages,0,list,30,parameters,1"
要看『ED30.淫魔化归还ED』吗？,"Map258.json,events,62,pages,1,list,2,parameters,0"
是,"Map258.json,events,62,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,62,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,62,pages,1,list,4,parameters,1"
否,"Map258.json,events,62,pages,1,list,12,parameters,1"
※ED31.淫魔篇ED4,"Map258.json,events,63,pages,0,list,4,parameters,0"
这个ED还没有解锁。,"Map258.json,events,63,pages,0,list,5,parameters,0"
要查看解锁方法吗？,"Map258.json,events,63,pages,0,list,6,parameters,0"
是,"Map258.json,events,63,pages,0,list,7,parameters,0,0"
解锁这个ED,"Map258.json,events,63,pages,0,list,7,parameters,0,1"
否,"Map258.json,events,63,pages,0,list,7,parameters,0,2"
是,"Map258.json,events,63,pages,0,list,8,parameters,1"
去地下通道（从旅馆出来后的地图西北部）,"Map258.json,events,63,pages,0,list,10,parameters,0"
不被小孩淫魔抓住继续前进。,"Map258.json,events,63,pages,0,list,11,parameters,0"
这条路线也不管是不是打败了,"Map258.json,events,63,pages,0,list,12,parameters,0"
小孩淫魔都不会对ED有特别影响。,"Map258.json,events,63,pages,0,list,13,parameters,0"
解锁这个ED,"Map258.json,events,63,pages,0,list,15,parameters,1"
确定要解锁吗？,"Map258.json,events,63,pages,0,list,17,parameters,0"
（一旦解锁，就无法回退）,"Map258.json,events,63,pages,0,list,18,parameters,0"
是,"Map258.json,events,63,pages,0,list,19,parameters,0,0"
否,"Map258.json,events,63,pages,0,list,19,parameters,0,1"
是,"Map258.json,events,63,pages,0,list,20,parameters,1"
否,"Map258.json,events,63,pages,0,list,26,parameters,1"
否,"Map258.json,events,63,pages,0,list,30,parameters,1"
要看『ED31.小孩淫魔化归还ED』吗？,"Map258.json,events,63,pages,1,list,2,parameters,0"
是,"Map258.json,events,63,pages,1,list,3,parameters,0,0"
否,"Map258.json,events,63,pages,1,list,3,parameters,0,1"
是,"Map258.json,events,63,pages,1,list,4,parameters,1"
否,"Map258.json,events,63,pages,1,list,12,parameters,1"
狐妖,"Map258.json,events,64,name"
可以看到妖狐篇的攻略信息。,"Map258.json,events,64,pages,0,list,1,parameters,0"
附带图片介绍！要看吗？,"Map258.json,events,64,pages,0,list,2,parameters,0"
是,"Map258.json,events,64,pages,0,list,3,parameters,0,0"
否,"Map258.json,events,64,pages,0,list,3,parameters,0,1"
是,"Map258.json,events,64,pages,0,list,4,parameters,1"
※必须按照这些步骤进行。,"Map258.json,events,64,pages,0,list,7,parameters,0"
（直接检查坟墓什么的不会发生任何事情）,"Map258.json,events,64,pages,0,list,8,parameters,0"
检查这个地图的○部分以设置标志。,"Map258.json,events,64,pages,0,list,9,parameters,0"
然后检查这个地方以设置标志。,"Map258.json,events,64,pages,0,list,12,parameters,0"
最后，在检查完初始地图的这个地方后,"Map258.json,events,64,pages,0,list,15,parameters,0"
再返回东北部的地图。,"Map258.json,events,64,pages,0,list,16,parameters,0"
然后会有一个闪光的地方，检查它。,"Map258.json,events,64,pages,0,list,19,parameters,0"
吃掉检查到的物品，从植物地图继续向西,"Map258.json,events,64,pages,0,list,20,parameters,0"
移动并获得『除草剂』。,"Map258.json,events,64,pages,0,list,21,parameters,0"
最后用除草剂消灭植物，检查书籍就完成了。,"Map258.json,events,64,pages,0,list,27,parameters,0"
需要注意的是，必须用除草剂消灭植物，,"Map258.json,events,64,pages,0,list,28,parameters,0"
否则它们都会成为食物！,"Map258.json,events,64,pages,0,list,29,parameters,0"
另外，还有调试命令。,"Map258.json,events,64,pages,0,list,31,parameters,0"
如果觉得路上很麻烦，可以使用它。,"Map258.json,events,64,pages,0,list,32,parameters,0"
详细信息请参考img/Debug文件夹。,"Map258.json,events,64,pages,0,list,33,parameters,0"
否,"Map258.json,events,64,pages,0,list,35,parameters,1"
可以查看吸血姬篇的攻略信息。,"Map258.json,events,66,pages,0,list,1,parameters,0"
看一下,"Map258.json,events,66,pages,0,list,2,parameters,0,0"
保持原样,"Map258.json,events,66,pages,0,list,2,parameters,0,1"
看一下,"Map258.json,events,66,pages,0,list,3,parameters,1"
吸血姬槽是什么？,"Map258.json,events,66,pages,0,list,5,parameters,0,0"
关于左边的房间,"Map258.json,events,66,pages,0,list,5,parameters,0,1"
关于右边的房间,"Map258.json,events,66,pages,0,list,5,parameters,0,2"
关于中间的房间,"Map258.json,events,66,pages,0,list,5,parameters,0,3"
关于ED的分岐,"Map258.json,events,66,pages,0,list,5,parameters,0,4"
停止观察,"Map258.json,events,66,pages,0,list,5,parameters,0,5"
吸血姬槽是什么？,"Map258.json,events,66,pages,0,list,6,parameters,1"
通过跳跃越过悬崖，破坏门,"Map258.json,events,66,pages,0,list,8,parameters,0"
使用暗视等行为,"Map258.json,events,66,pages,0,list,9,parameters,0"
吸血姬槽会逐渐增加。,"Map258.json,events,66,pages,0,list,10,parameters,0"
虽然游戏中没有显示进度，,"Map258.json,events,66,pages,0,list,13,parameters,0"
但可以通过菜单画面中清彦的表情,"Map258.json,events,66,pages,0,list,14,parameters,0"
以及大厅和初始房间中的镜子事件,"Map258.json,events,66,pages,0,list,15,parameters,0"
大致了解进度。,"Map258.json,events,66,pages,0,list,16,parameters,0"
镜事件的整体内容，在每个房间攻略机关时,"Map258.json,events,66,pages,0,list,19,parameters,0"
对话内容会有所不同，,"Map258.json,events,66,pages,0,list,21,parameters,0"
如果你在意的话可以全部检查一遍……？,"Map258.json,events,66,pages,0,list,22,parameters,0"
关于左边的房间,"Map258.json,events,66,pages,0,list,25,parameters,1"
『反对面』指的是南边。,"Map258.json,events,66,pages,0,list,29,parameters,0"
你可以走到这里。,"Map258.json,events,66,pages,0,list,30,parameters,0"
中央部分每次飞行吸血姬仪表盘会增加10％。,"Map258.json,events,66,pages,0,list,31,parameters,0"
中间部分也可以走。,"Map258.json,events,66,pages,0,list,34,parameters,0"
获得宝箱后也要回去。,"Map258.json,events,66,pages,0,list,35,parameters,0"
中央随时都可以飞行，但仪表盘会增加10％。,"Map258.json,events,66,pages,0,list,36,parameters,0"
关于右边的房间,"Map258.json,events,66,pages,0,list,39,parameters,1"
使用暗视吸血姬仪表盘会增加30％。,"Map258.json,events,66,pages,0,list,41,parameters,0"
按照提示进行攻略，获得宝箱即可完成。,"Map258.json,events,66,pages,0,list,42,parameters,0"
关于中间的房间,"Map258.json,events,66,pages,0,list,44,parameters,1"
调查房间会看到各种答案，,"Map258.json,events,66,pages,0,list,47,parameters,0"
正确答案是『219』。,"Map258.json,events,66,pages,0,list,48,parameters,0"
也可以强行破坏牢房，但吸血姬仪表盘会增加30％。,"Map258.json,events,66,pages,0,list,49,parameters,0"
在60～80%的情况下只能破坏，,"Map258.json,events,66,pages,0,list,51,parameters,0"
这种情况下会强制变为90％。,"Map258.json,events,66,pages,0,list,52,parameters,0"
关于ED的分岐,"Map258.json,events,66,pages,0,list,55,parameters,1"
根据当前吸血姬仪表盘的百分比进行分岐。,"Map258.json,events,66,pages,0,list,57,parameters,0"
0%～80%返回城市ED。,"Map258.json,events,66,pages,0,list,58,parameters,0"
90%和100%有吸血姬EDx2共三种。,"Map258.json,events,66,pages,0,list,59,parameters,0"
停止观察,"Map258.json,events,66,pages,0,list,61,parameters,1"
保持原样,"Map258.json,events,66,pages,0,list,68,parameters,1"
可以查看人鱼篇的攻略信息。,"Map258.json,events,67,pages,0,list,1,parameters,0"
看一下,"Map258.json,events,67,pages,0,list,2,parameters,0,0"
保持原样,"Map258.json,events,67,pages,0,list,2,parameters,0,1"
看一下,"Map258.json,events,67,pages,0,list,3,parameters,1"
告诉我攻略信息（关于1F）,"Map258.json,events,67,pages,0,list,5,parameters,0,0"
告诉我攻略信息（关于2F）,"Map258.json,events,67,pages,0,list,5,parameters,0,1"
关于ED的分岐,"Map258.json,events,67,pages,0,list,5,parameters,0,2"
停止观察,"Map258.json,events,67,pages,0,list,5,parameters,0,3"
告诉我攻略信息（关于1F）,"Map258.json,events,67,pages,0,list,6,parameters,1"
男性状态，变身第一阶段的攻略,"Map258.json,events,67,pages,0,list,7,parameters,0,0"
变身第二阶段及以后的攻略,"Map258.json,events,67,pages,0,list,7,parameters,0,1"
返回上一个选项,"Map258.json,events,67,pages,0,list,7,parameters,0,2"
男性状态，变身第一阶段的攻略,"Map258.json,events,67,pages,0,list,8,parameters,1"
首先从『○』的壶中获得杖。,"Map258.json,events,67,pages,0,list,11,parameters,0"
然后检查『○』并获得钳子。,"Map258.json,events,67,pages,0,list,14,parameters,0"
最后用钳子破坏门，获得绳子。,"Map258.json,events,67,pages,0,list,17,parameters,0"
然后在1F大厅检查发光的部分即可完成。,"Map258.json,events,67,pages,0,list,18,parameters,0"
（大厅发光的部分需要在获得绳子前后各检查两次）,"Map258.json,events,67,pages,0,list,19,parameters,0"
可以使用绳子攀爬的状态是,"Map258.json,events,67,pages,0,list,21,parameters,0"
男性状态，正太状态（变身第一阶段）,"Map258.json,events,67,pages,0,list,22,parameters,0"
巨乳少女状态（变身第三阶段）。,"Map258.json,events,67,pages,0,list,23,parameters,0"
变身第二阶段及以后的攻略,"Map258.json,events,67,pages,0,list,26,parameters,1"
※变身第二阶段（铠少女）时无法使用绳子。,"Map258.json,events,67,pages,0,list,29,parameters,0"
所以需要获得梯子。,"Map258.json,events,67,pages,0,list,30,parameters,0"
去西边的房间，检查『○』,"Map258.json,events,67,pages,0,list,33,parameters,0"
让柜子发光并检查柜子,"Map258.json,events,67,pages,0,list,34,parameters,0"
获得『小钥匙』。,"Map258.json,events,67,pages,0,list,35,parameters,0"
然后打开东边的牢房，获得梯子。,"Map258.json,events,67,pages,0,list,38,parameters,0"
将其用于大厅发光的部分即可完成。,"Map258.json,events,67,pages,0,list,39,parameters,0"
鳞片状态、人鱼化状态不需要绳子和梯子。,"Map258.json,events,67,pages,0,list,41,parameters,0"
返回上一个选项,"Map258.json,events,67,pages,0,list,44,parameters,1"
告诉我攻略信息（关于2F）,"Map258.json,events,67,pages,0,list,49,parameters,1"
关于解锁ED8的方法,"Map258.json,events,67,pages,0,list,50,parameters,0,0"
关于2F的攻略,"Map258.json,events,67,pages,0,list,50,parameters,0,1"
返回上一个选项,"Map258.json,events,67,pages,0,list,50,parameters,0,2"
关于解锁ED8的方法,"Map258.json,events,67,pages,0,list,51,parameters,1"
在正太状态（变身第一阶段）,"Map258.json,events,67,pages,0,list,54,parameters,0"
