蝙蝠*2,"Troops.json,1,name"
大妖狐旋转了好几圈。,"Troops.json,22,pages,0,list,19,parameters,0"
如同旋转身体一样躲避伸向尾巴的手。,"Troops.json,22,pages,0,list,20,parameters,0"
立即反击！,"Troops.json,22,pages,0,list,21,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,0,list,23,parameters,0"
“（机会！）”,"Troops.json,22,pages,0,list,24,parameters,0"
毫不犹豫地到达尾根！ \.\.\.,"Troops.json,22,pages,0,list,27,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,30,parameters,0"
“哦！？,"Troops.json,22,pages,0,list,31,parameters,0"
呼～危险啊危险♪”,"Troops.json,22,pages,0,list,32,parameters,0"
我能够暂时接触到尾根。,"Troops.json,22,pages,0,list,34,parameters,0"
然而，我只是隔着衣服摸，并没有真正触及它。,"Troops.json,22,pages,0,list,35,parameters,0"
当我们远离彼此时，我不由自主地咂舌，但很快我又恢复了平静。,"Troops.json,22,pages,0,list,36,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,38,parameters,0"
（不知道我的动作是否明显。,"Troops.json,22,pages,0,list,39,parameters,0"
我想皮肤的融合程度比我想象的要好……,"Troops.json,22,pages,0,list,40,parameters,0"
在这种情况下，要认真起来了。）,"Troops.json,22,pages,0,list,41,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,0,list,43,parameters,0"
“（……下次我会抓住它的！）”,"Troops.json,22,pages,0,list,44,parameters,0"
到达尾根,"Troops.json,22,pages,0,list,47,parameters,0,0"
先伸手去够尾巴,"Troops.json,22,pages,0,list,47,parameters,0,1"
到达尾根,"Troops.json,22,pages,0,list,48,parameters,1"
大妖狐,"Troops.json,22,pages,0,list,51,parameters,0"
“哦！？,"Troops.json,22,pages,0,list,52,parameters,0"
呼～危险啊危险♪”,"Troops.json,22,pages,0,list,53,parameters,0"
我能够暂时接触到尾根。,"Troops.json,22,pages,0,list,55,parameters,0"
然而，我只是隔着衣服摸，并没有真正触及它。,"Troops.json,22,pages,0,list,56,parameters,0"
当我们远离彼此时，我不由自主地咂舌，但很快我又恢复了平静。,"Troops.json,22,pages,0,list,57,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,59,parameters,0"
（奇怪的是，我认为没有人知道你的弱点。,"Troops.json,22,pages,0,list,60,parameters,0"
……嗯，为什么？ ）”,"Troops.json,22,pages,0,list,61,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,0,list,63,parameters,0"
“（……下次我会抓住它的！）”,"Troops.json,22,pages,0,list,64,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,66,parameters,0"
（不知道我的动作是否明显。,"Troops.json,22,pages,0,list,67,parameters,0"
我想皮肤的融合程度比我想象的要好……,"Troops.json,22,pages,0,list,68,parameters,0"
在这种情况下，要认真起来了。）,"Troops.json,22,pages,0,list,69,parameters,0"
先伸手去够尾巴,"Troops.json,22,pages,0,list,71,parameters,1"
大妖狐,"Troops.json,22,pages,0,list,74,parameters,0"
“嗯！,"Troops.json,22,pages,0,list,75,parameters,0"
你喜欢毛茸茸的东西吗？ ”,"Troops.json,22,pages,0,list,76,parameters,0"
我能够成功触碰它……但效果并不是特别好。,"Troops.json,22,pages,0,list,78,parameters,0"
没有任何尖锐物体四处乱窜的迹象。,"Troops.json,22,pages,0,list,79,parameters,0"
……不，我在跑，但我在跑。,"Troops.json,22,pages,0,list,80,parameters,0"
我没那么敏感。是这个意思吗？,"Troops.json,22,pages,0,list,81,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,83,parameters,0"
“（危险，危险。,"Troops.json,22,pages,0,list,84,parameters,0"
如果它在尾根的话那就很危险了。）,"Troops.json,22,pages,0,list,85,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,0,list,87,parameters,0"
「（这不是尾巴吗……？,"Troops.json,22,pages,0,list,88,parameters,0"
是基础吗？不……这真的是尾巴吗……？ ）”,"Troops.json,22,pages,0,list,89,parameters,0"
大妖狐,"Troops.json,22,pages,0,list,91,parameters,0"
（不知道我的动作是否明显。,"Troops.json,22,pages,0,list,92,parameters,0"
我想皮肤的融合程度比我想象的要好……,"Troops.json,22,pages,0,list,93,parameters,0"
在这种情况下，要认真起来了。）,"Troops.json,22,pages,0,list,94,parameters,0"
哦！ \!,"Troops.json,22,pages,1,list,3,parameters,0"
再次，大狐狸消失了。,"Troops.json,22,pages,1,list,4,parameters,0"
不过，以她现在的状态，肉眼都能看到……虽然是\.\.\.。,"Troops.json,22,pages,1,list,5,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,1,list,7,parameters,0"
“（我看不见你！？）”,"Troops.json,22,pages,1,list,8,parameters,0"
我能听到它在移动。,"Troops.json,22,pages,1,list,10,parameters,0"
然而，我根本看不到她。,"Troops.json,22,pages,1,list,11,parameters,0"
并不是看不到，因为它比以前更快了。,"Troops.json,22,pages,1,list,12,parameters,0"
这次他一定是用魔法消失了。,"Troops.json,22,pages,1,list,13,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,1,list,15,parameters,0"
“冷静下来...”,"Troops.json,22,pages,1,list,16,parameters,0"
没有必要用眼睛追随它。,"Troops.json,22,pages,1,list,18,parameters,0"
然后...用声音跟随它！闭上眼睛，集中注意力。,"Troops.json,22,pages,1,list,19,parameters,0"
狐狸耳朵抽搐。并仔细聆听声音。,"Troops.json,22,pages,1,list,20,parameters,0"
了解大狐狸的大致位置。,"Troops.json,22,pages,1,list,21,parameters,0"
\C[27] 清彦,"Troops.json,22,pages,1,list,24,parameters,0"
声音变了。 \.\.\.,"Troops.json,22,pages,1,list,27,parameters,0"
这意味着他正在接近她。,"Troops.json,22,pages,1,list,28,parameters,0"
是在前面、后面还是侧面？ \.\.\.\.,"Troops.json,22,pages,1,list,29,parameters,0"
就在前面！,"Troops.json,22,pages,1,list,30,parameters,0"
我可以看到大狐狸双手的动作。 \!,"Troops.json,22,pages,1,list,32,parameters,0"
他并没有转身或者向后飞去躲避。 \!,"Troops.json,22,pages,1,list,33,parameters,0"
她踢了榻榻米，把他踢飞到了空中。,"Troops.json,22,pages,1,list,34,parameters,0"
大妖狐,"Troops.json,22,pages,1,list,36,parameters,0"
“图片……！？”,"Troops.json,22,pages,1,list,37,parameters,0"
尽管这只是一瞬间的事,"Troops.json,22,pages,1,list,39,parameters,0"
我的注意力更加集中，就像在慢动作播放一样。,"Troops.json,22,pages,1,list,40,parameters,0"
在空中垂直旋转时,"Troops.json,22,pages,1,list,41,parameters,0"
反而是挪到了大妖狐的身后……,"Troops.json,22,pages,1,list,42,parameters,0"
大妖狐,"Troops.json,22,pages,1,list,48,parameters,0"
“嗨♡”,"Troops.json,22,pages,1,list,49,parameters,0"
快速敲击底座。,"Troops.json,22,pages,1,list,51,parameters,0"
\.\. 我着陆时发出软着陆声音。 \!,"Troops.json,22,pages,1,list,52,parameters,0"
背部出现裂缝。大妖狐失去了姿态。,"Troops.json,22,pages,1,list,53,parameters,0"
\C[18]非人类\C[0]之间的比赛已经结束……,"Troops.json,22,pages,1,list,54,parameters,0"
瞄准尾骨根部,"Troops.json,22,pages,1,list,61,parameters,0,0"
瞄准尾巴,"Troops.json,22,pages,1,list,61,parameters,0,1"
瞄准尾骨根部,"Troops.json,22,pages,1,list,62,parameters,1"
大妖狐,"Troops.json,22,pages,1,list,67,parameters,0"
“嗨♡”,"Troops.json,22,pages,1,list,68,parameters,0"
快速敲击底座。,"Troops.json,22,pages,1,list,70,parameters,0"
\.\. 我着陆时发出软着陆声音。 \!,"Troops.json,22,pages,1,list,71,parameters,0"
背部出现裂缝。大妖狐失去了姿态。,"Troops.json,22,pages,1,list,72,parameters,0"
\C[18]非人类\C[0]之间的比赛已经结束……,"Troops.json,22,pages,1,list,73,parameters,0"
瞄准尾巴,"Troops.json,22,pages,1,list,79,parameters,1"
大妖狐,"Troops.json,22,pages,1,list,83,parameters,0"
“嗯♡”,"Troops.json,22,pages,1,list,84,parameters,0"
这次，同时拉两条尾巴。,"Troops.json,22,pages,1,list,86,parameters,0"
垂直旋转时紧紧抓住它，如果用力拉，,"Troops.json,22,pages,1,list,87,parameters,0"
没有人能受得了。哪怕是一只巨型妖狐。,"Troops.json,22,pages,1,list,88,parameters,0"
大妖狐,"Troops.json,22,pages,1,list,92,parameters,0"
“杂~嫩♡”,"Troops.json,22,pages,1,list,93,parameters,0"
但是……当我落地时,"Troops.json,22,pages,1,list,97,parameters,0"
身后传来大妖狐的声音……,"Troops.json,22,pages,1,list,98,parameters,0"
黑色哈比,"Troops.json,24,name"
魅魔,"Troops.json,25,name"
清彦成功地打了个措手不及！,"Troops.json,25,pages,0,list,1,parameters,0"
魅魔,"Troops.json,26,name"
萝莉魅魔,"Troops.json,27,name"
清彦成功地打了个措手不及！,"Troops.json,27,pages,0,list,1,parameters,0"
萝莉魅魔,"Troops.json,28,name"
绿色魅魔,"Troops.json,30,name"
绿色魅魔,"Troops.json,31,name"
清彦成功地打了个措手不及！,"Troops.json,31,pages,0,list,1,parameters,0"
